State00,PUMA00,GEOID00,GISJOIN00,State10,PUMA10,GEOID10,GISJOIN10,State10_Name,PUMA10_Name,CPUMA00,CPUMA10,PUMA00_Pop00,PUMA10_Pop00,Part_Pop00,pPUMA00_Pop00,pPUMA10_Pop00,PUMA00_Pop10,PUMA10_Pop10,Part_Pop10,pPUMA00_Pop10,pPUMA10_Pop10,PUMA00_Land,PUMA10_Land,Part_Land,pPUMA00_Land,pPUMA10_Land,county_fips,area,climate_reg_recs
04,00114,0400114,G04000114,04,00101,0400101,G04000101,Arizona,Maricopa County--Mesa City (East),24,24,183523,89630,36506,19.89,40.73,197491,146304,52193,26.43,35.67,193160782,224488702,82669929,42.8,36.83,013,225107191.6091084,Hot-Dry & Mixed Dry
04,00114,0400114,G04000114,04,00102,0400102,G04000102,Arizona,Maricopa County--Mesa City (North Central),24,24,183523,136291,110639,60.29,81.18,197491,131113,107175,54.27,81.74,193160782,106144394,92408115,47.84,87.06,013,108049063.9528008,Hot-Dry & Mixed Dry
04,00114,0400114,G04000114,04,00103,0400103,G04000103,Arizona,Maricopa County--Mesa City (West),24,24,183523,112857,3439,1.87,3.05,197491,106091,3390,1.72,3.2,193160782,46711758,1321110,0.68,2.83,013,47097665.63803661,Hot-Dry & Mixed Dry
04,00114,0400114,G04000114,04,00104,0400104,G04000104,Arizona,Maricopa County--Mesa City (South Central),24,24,183523,97722,32939,17.95,33.71,197491,100229,34733,17.59,34.65,193160782,54152039,16761628,8.68,30.95,013,54236420.04249227,Hot-Dry & Mixed Dry
04,00115,0400115,G04000115,04,00102,0400102,G04000102,Arizona,Maricopa County--Mesa City (North Central),24,24,152860,136291,25652,16.78,18.82,143054,131113,23938,16.73,18.26,65644456,106144394,13736043,20.92,12.94,013,108049063.9528008,Hot-Dry & Mixed Dry
04,00115,0400115,G04000115,04,00103,0400103,G04000103,Arizona,Maricopa County--Mesa City (West),24,24,152860,112857,109418,71.58,96.95,143054,106091,102701,71.79,96.8,65644456,46711758,45375340,69.12,97.14,013,47097665.63803661,Hot-Dry & Mixed Dry
04,00115,0400115,G04000115,04,00104,0400104,G04000104,Arizona,Maricopa County--Mesa City (South Central),24,24,152860,97722,17790,11.64,18.2,143054,100229,16415,11.47,16.38,65644456,54152039,6459026,9.84,11.93,013,54236420.04249227,Hot-Dry & Mixed Dry
04,00115,0400115,G04000115,04,00108,0400108,G04000108,Arizona,Maricopa County--Tempe (South) & Chandler (Northwest) Cities,24,23,152860,103646,0,0,0,143054,101048,0,0,0,65644456,70680378,66400,0.1,0.09,013,71146640.38714048,Hot-Dry & Mixed Dry
04,00115,0400115,G04000115,04,00109,0400109,G04000109,Arizona,Maricopa County--Tempe City (North),24,23,152860,99395,0,0,0,143054,102150,0,0,0,65644456,61294312,7647,0.01,0.01,013,63449542.28077148,Hot-Dry & Mixed Dry
04,00116,0400116,G04000116,04,00102,0400102,G04000102,Arizona,Maricopa County--Mesa City (North Central),23,24,163902,136291,0,0,0,165987,131113,0,0,0,104074375,106144394,236,0,0,013,108049063.9528008,Hot-Dry & Mixed Dry
04,00116,0400116,G04000116,04,00103,0400103,G04000103,Arizona,Maricopa County--Mesa City (West),23,24,163902,112857,0,0,0,165987,106091,0,0,0,104074375,46711758,15282,0.01,0.03,013,47097665.63803661,Hot-Dry & Mixed Dry
04,00116,0400116,G04000116,04,00108,0400108,G04000108,Arizona,Maricopa County--Tempe (South) & Chandler (Northwest) Cities,23,23,163902,103646,64507,39.36,62.24,165987,101048,63837,38.46,63.17,104074375,70680378,43050506,41.37,60.91,013,71146640.38714048,Hot-Dry & Mixed Dry
