State,State FIPS,County FIPS,IECC Climate Zone,IECC Moisture Regime,BA Climate Zone,County Name
FL,12,69,2,A,Hot-Humid,Lake
FL,12,71,2,A,Hot-Humid,Lee
FL,12,73,2,A,Hot-Humid,Leon
FL,12,75,2,A,Hot-Humid,Levy
FL,12,77,2,A,Hot-Humid,Liberty
FL,12,79,2,A,Hot-Humid,Madison
FL,12,81,2,A,Hot-Humid,Manatee
FL,12,83,2,A,Hot-Humid,Marion
FL,12,85,2,A,Hot-Humid,Martin
FL,12,86,1,A,Hot-Humid,Miami-Dade
FL,12,87,1,A,Hot-Humid,Monroe
FL,12,89,2,A,Hot-Humid,Nassau
FL,12,91,2,A,Hot-Humid,Okaloosa
FL,12,93,2,A,Hot-Humid,Okeechobee
FL,12,95,2,A,Hot-Humid,Orange
FL,12,97,2,A,Hot-Humid,Osceola
FL,12,99,2,A,Hot-Humid,Palm Beach
FL,12,101,2,A,Hot-Humid,Pasco
FL,12,103,2,A,Hot-Humid,Pinellas
FL,12,105,2,A,Hot-Humid,Polk
FL,12,107,2,A,Hot-Humid,Putnam
FL,12,113,2,A,Hot-Humid,Santa Rosa
FL,12,115,2,A,Hot-Humid,Sarasota
FL,12,117,2,A,Hot-Humid,Seminole
FL,12,109,2,A,Hot-Humid,St. Johns
FL,12,111,2,A,Hot-Humid,St. Lucie
FL,12,119,2,A,Hot-Humid,Sumter
FL,12,121,2,A,Hot-Humid,Suwannee
FL,12,123,2,A,Hot-Humid,Taylor
FL,12,125,2,A,Hot-Humid,Union
FL,12,127,2,A,Hot-Humid,Volusia
FL,12,129,2,A,Hot-Humid,Wakulla
FL,12,131,2,A,Hot-Humid,Walton
FL,12,133,2,A,Hot-Humid,Washington
GA,13,1,2,A,Hot-Humid,Appling
GA,13,3,2,A,Hot-Humid,Atkinson
GA,13,5,2,A,Hot-Humid,Bacon
GA,13,7,2,A,Hot-Humid,Baker
GA,13,9,3,A,Mixed-Humid,Baldwin
GA,13,11,4,A,Mixed-Humid,Banks
GA,13,13,3,A,Mixed-Humid,Barrow
GA,13,15,3,A,Mixed-Humid,Bartow
GA,13,17,3,A,Hot-Humid,Ben Hill
GA,13,19,2,A,Hot-Humid,Berrien
GA,13,21,3,A,Mixed-Humid,Bibb
GA,13,23,3,A,Hot-Humid,Bleckley
GA,13,25,2,A,Hot-Humid,Brantley
GA,13,27,2,A,Hot-Humid,Brooks
GA,13,29,2,A,Hot-Humid,Bryan
GA,13,31,3,A,Hot-Humid,Bulloch
GA,13,33,3,A,Mixed-Humid,Burke
GA,13,35,3,A,Mixed-Humid,Butts
GA,13,37,3,A,Hot-Humid,Calhoun
GA,13,39,2,A,Hot-Humid,Camden
GA,13,43,3,A,Hot-Humid,Candler
GA,13,45,3,A,Mixed-Humid,Carroll
GA,13,47,4,A,Mixed-Humid,Catoosa
GA,13,49,2,A,Hot-Humid,Charlton
GA,13,51,2,A,Hot-Humid,Chatham
GA,13,53,3,A,Hot-Humid,Chattahoochee
GA,13,55,4,A,Mixed-Humid,Chattooga
GA,13,57,3,A,Mixed-Humid,Cherokee
GA,13,59,3,A,Mixed-Humid,Clarke
GA,13,61,3,A,Hot-Humid,Clay
GA,13,63,3,A,Mixed-Humid,Clayton
GA,13,65,2,A,Hot-Humid,Clinch
GA,13,67,3,A,Mixed-Humid,Cobb
GA,13,69,3,A,Hot-Humid,Coffee
GA,13,71,2,A,Hot-Humid,Colquitt
GA,13,73,3,A,Mixed-Humid,Columbia
GA,13,75,2,A,Hot-Humid,Cook
GA,13,77,3,A,Mixed-Humid,Coweta
GA,13,79,3,A,Mixed-Humid,Crawford
GA,13,81,3,A,Hot-Humid,Crisp
GA,13,83,4,A,Mixed-Humid,Dade
GA,13,85,4,A,Mixed-Humid,Dawson
GA,13,87,2,A,Hot-Humid,Decatur
GA,13,89,3,A,Mixed-Humid,DeKalb
GA,13,91,3,A,Hot-Humid,Dodge
GA,13,93,3,A,Hot-Humid,Dooly
GA,13,95,3,A,Hot-Humid,Dougherty
GA,13,97,3,A,Mixed-Humid,Douglas
GA,13,99,3,A,Hot-Humid,Early
GA,13,101,2,A,Hot-Humid,Echols
GA,13,103,2,A,Hot-Humid,Effingham
GA,13,105,3,A,Mixed-Humid,Elbert
GA,13,107,3,A,Hot-Humid,Emanuel
GA,13,109,2,A,Hot-Humid,Evans
GA,13,111,4,A,Mixed-Humid,Fannin
GA,13,113,3,A,Mixed-Humid,Fayette
GA,13,115,4,A,Mixed-Humid,Floyd
GA,13,117,3,A,Mixed-Humid,Forsyth
